立委姓名
丁守中
孔文吉
王幸男
王金平
王進士
田秋堇
朱鳳芝
江玲君
江連福
江義雄
余天
余政道
吳志揚
吳育昇
吳清池
吳敦義
呂學樟
李乙廷
李明星
李俊毅
李紀珠
李復興
李嘉進
李慶安
李慶華
李鴻鈞
周守訓
林正二
林明溱
林建榮
林炳坤
林郁方
林益世
林淑芬
林滄敏
林德福
林鴻池
邱毅
邱鏡淳
邱議瑩
侯彩鳳
帥化民
柯建銘
洪秀柱
紀國棟
孫大千
徐中雄
徐少萍
徐耀昌
翁金珠
翁重鈞
高志鵬
高金素梅
張花冠
張嘉郡
張碩文
張慶忠
張顯耀
曹爾忠
郭玟成
郭素春
陳秀卿
陳杰
陳亭妃
陳根德
陳啟昱
陳節如
陳福海
陳瑩
傅崐萁
曾永權
費鴻泰
黃志雄
黃昭順
黃偉哲
黃健庭
黃淑英
黃義交
楊仁福
楊瓊瓔
楊麗環
葉宜津
廖正井
廖國棟
廖婉汝
管碧玲
趙麗雲
劉盛良
劉銓忠
潘孟安
潘維剛
蔣孝嚴
蔡正元
蔡同榮
蔡煌瑯
蔡錦隆
鄭汝芬
鄭金玲
鄭麗文
盧秀燕
盧嘉辰
蕭景田
賴士葆
賴清德
薛凌
謝國樑
鍾紹和
簡東明
顏清標
羅明才
羅淑蕾
蘇震清
涂醒哲
陳淑慧
王廷升
馬文君
康世儒
許舒博
郭榮宗
陳明文
彭紹瑾
黃仁杼
劉建國
蔣乃辛
賴坤成
簡肇棟
林岱樺
許添財
尤美女
王育敏
王惠美
江啟臣
江惠貞
何欣純
吳宜臻
吳育仁
吳秉叡
呂玉玲
李昆澤
李俊俋
李桐豪
李貴敏
李應元
邱文彥
邱志偉
林世嘉
林佳龍
林國正
姚文智
段宜康
徐欣瑩
陳其邁
陳唐山
陳雪生
陳超明
陳碧涵
陳歐珀
陳學聖
陳鎮湘
張曉風
許忠信
許智傑
曾巨威
黃文玲
楊玉欣
楊應雄
楊曜
詹凱臣
蔡其昌
趙天麟
鄭天財
鄭麗君
劉櫂豪
蕭美琴
魏明谷
蘇清泉
顏寬恒
陳怡潔
葉津鈴
周倪安
賴振昌
徐志榮
黃國書
陳素月
許淑華
莊瑞雄
詹滿容
王定宇
王榮璋
江永昌
余宛如
吳玉琴
吳思瑤
吳焜裕
吳琪銘
呂孫綾
李彥秀
李麗芬
Kolas Yotaka
周春米
周陳秀霞
林俊憲
林昶佐
林為洲
林靜儀
林麗蟬
邱泰源
施義芳
柯志恩
柯呈枋
洪宗熠
洪慈庸
徐永明
徐國勇
徐榛蔚
高潞．以用．巴魕 Kawlo．Iyun．Pacidal
張宏陸
張廖萬堅
張麗善
許毓仁
郭正亮
陳宜民
陳曼麗
陳賴素美
曾銘宗
黃秀芳
黃國昌
楊鎮浯
趙正宇
劉世芳
蔡易餘
蔡培慧
蔡適應
蔣萬安
鄭運鵬
鄭寶清
賴瑞隆
鍾孔炤
鍾佳濱
羅致政
蘇巧慧
蘇治芬
蘇嘉全
顧立雄
谷辣斯．尤達卡Kolas Yotaka
蔣絜安
林奕華
陳玉珍
何志偉
郭國文
陳靜敏
童惠珍
鄭秀玲
沈智慧
